,NDOI,smscg,tide
3/5/1924,9798,1,6.041699886
3/6/1924,9775,1,5.460800171
3/7/1924,9759,1,4.687600136
3/8/1924,9748,1,4.303600311
3/9/1924,9739,1,4.186299801
3/10/1924,9733,1,4.067500114
3/11/1924,9728,1,3.913599968
3/12/1924,9724,1,3.745900154
3/13/1924,9721,1,3.779799938
3/14/1924,9718,1,3.970099926
3/15/1924,9715,1,4.299600124
3/16/1924,9713,1,4.782600403
3/17/1924,9710,1,5.289000034
3/18/1924,9708,1,5.62899971
3/19/1924,9705,1,5.864500046
3/20/1924,9701,1,5.778699875
3/21/1924,9697,1,5.512700081
3/22/1924,9692,1,5.512899876
3/23/1924,9686,1,5.854599953
3/24/1924,9677,1,6.023499966
3/25/1924,9664,1,6.04640007
3/26/1924,9646,1,5.894000053
3/27/1924,9616,1,5.682299614
3/28/1924,9566,1,5.507899761
3/29/1924,9466,1,5.416199684
3/30/1924,9227,1,5.394899845
3/31/1924,8383,1,5.383100033
4/1/1924,7554,1,5.199300289
4/2/1924,7326,1,5.129600048
4/3/1924,7232,1,4.784800053
4/4/1924,7184,1,4.920399666
4/5/1924,7157,1,5.01279974
4/6/1924,7140,1,4.910999775
4/7/1924,7129,1,5.008500099
4/8/1924,7121,1,4.809999943
4/9/1924,7115,1,4.524800301
4/10/1924,7110,1,4.182299614
4/11/1924,7106,1,3.96750021
4/12/1924,7103,1,3.873999834
4/13/1924,7101,1,3.9781003
4/14/1924,7099,1,4.268599987
4/15/1924,7096,1,4.725699902
4/16/1924,7094,1,5.041499615
4/17/1924,7092,1,5.227799892
4/18/1924,7090,1,5.806399822
4/19/1924,7087,1,6.517399788
4/20/1924,7083,1,7.047200203
4/21/1924,7079,1,7.015299797
4/22/1924,7073,1,7.267000198
4/23/1924,7066,1,6.911200047
4/24/1924,7055,1,6.338000298
4/25/1924,7039,1,5.680699825
4/26/1924,7014,1,5.139200211
4/27/1924,6970,1,5.105800152
4/28/1924,6882,1,4.997399807
4/29/1924,6670,1,4.959100246
4/30/1924,5899,1,4.802599907
5/1/1924,5114,1,5.076200008
5/2/1924,4892,1,5.359600067
5/3/1924,4799,1,5.638200283
5/4/1924,4752,1,5.657999992
5/5/1924,4725,1,5.731499672
5/6/1924,4707,1,5.49420023
5/7/1924,4696,1,5.460900307
5/8/1924,4688,1,5.21750021
5/9/1924,4682,1,4.838300228
5/10/1924,4678,1,4.428600311
