,NDOI,smscg,tide
10/4/1923,4058.993368,1,4.303199768
10/5/1923,4047.971299,1,4.727399826
10/6/1923,4041.098218,1,5.162899971
10/7/1923,4036.56384,1,5.447800159
10/8/1923,4033.454613,1,5.63160038
10/9/1923,4031.270591,1,5.694699764
10/10/1923,4029.721227,1,6.501200199
10/11/1923,4028.630287,1,6.974399567
10/12/1923,4027.88816,1,7.038099766
10/13/1923,4027.426592,1,6.904900074
10/14/1923,4027.204835,1,6.503200054
10/15/1923,4027.202074,1,5.954100132
10/16/1923,4027.413635,1,5.403000355
10/17/1923,4027.84983,1,4.953799725
10/18/1923,4028.537047,1,4.82640028
10/19/1923,4029.521323,1,5.040100098
10/20/1923,4030.875276,1,5.064700127
10/21/1923,4032.710357,1,4.887199879
10/22/1923,4035.19826,1,4.938499928
10/23/1923,4038.609312,1,5.100399971
10/24/1923,4043.384416,1,5.418699741
10/25/1923,4050.278077,1,5.466599941
10/26/1923,4060.665246,1,5.531699657
10/27/1923,4077.266955,1,5.425300121
10/28/1923,4106.102076,1,5.180500031
10/29/1923,4162.762803,1,4.89109993
10/30/1923,4298.799331,1,4.607999802
10/31/1923,4778.728032,1,4.332499981
11/1/1923,5250.155442,0,4.155600071
11/2/1923,5379.963949,0,4.278299809
11/3/1923,5433.324115,0,4.387899876
11/4/1923,5460.287038,0,4.93089962
11/5/1923,5475.755116,0,5.194900036
11/6/1923,5485.426892,0,6.097899914
11/7/1923,5491.863133,0,7.106600285
11/8/1923,5496.353281,0,7.722199917
11/9/1923,5499.604263,0,8.064899445
11/10/1923,5502.030254,0,7.993899822
11/11/1923,5503.887307,0,7.515599728
11/12/1923,5505.341035,0,6.759900093
11/13/1923,5506.502894,0,5.882200241
11/14/1923,5507.450726,0,5.08769989
11/15/1923,5508.240998,0,4.843800068
11/16/1923,5508.916465,0,4.663100243
11/17/1923,5509.511279,0,4.76970005
11/18/1923,5510.054719,0,4.657100201
11/19/1923,5510.57431,0,5.051800251
11/20/1923,5511.099008,0,5.427999973
11/21/1923,5511.663211,0,5.795399666
11/22/1923,5512.312858,0,6.052500248
11/23/1923,5513.116042,0,6.179900169
11/24/1923,5514.183513,0,6.260700226
11/25/1923,5515.71232,0,6.109699726
11/26/1923,5518.089127,0,5.95179987
11/27/1923,5522.169786,0,5.631599903
11/28/1923,5530.187603,0,5.151400089
11/29/1923,5549.637626,0,4.636400223
11/30/1923,5620.220102,0,4.47110033
12/1/1923,5692.084979,0,4.493599892
12/2/1923,5712.498099,0,4.535599709
12/3/1923,5721.064606,0,4.795599937
12/4/1923,5725.507308,0,5.936599731
12/5/1923,5728.166711,0,7.01240015
12/6/1923,5729.95129,0,7.8604002
12/7/1923,5731.277276,0,8.444499969
12/8/1923,5732.36122,0,8.558799744
12/9/1923,5733.329106,0,8.280399323
12/10/1923,5734.262921,0,7.709700108
12/11/1923,5735.222907,0,6.87130022
12/12/1923,5736.259464,0,5.818200111
12/13/1923,5737.420446,0,5.086900234
12/14/1923,5738.756518,0,4.655600071
12/15/1923,5740.326016,0,4.282299995
12/16/1923,5742.200334,0,4.03429985
12/17/1923,5744.470822,0,4.554900169
12/18/1923,5747.25848,0,5.153700352
12/19/1923,5750.7284,0,5.576600075
12/20/1923,5755.112291,0,6.0625
12/21/1923,5760.744985,0,6.317200184
12/22/1923,5768.126109,0,6.610099792
12/23/1923,5778.029045,0,6.670600414
12/24/1923,5791.703864,0,6.653100014
12/25/1923,5811.279848,0,6.48239994
12/26/1923,5840.62817,0,6.054399967
12/27/1923,5887.401341,0,5.536200047
12/28/1923,5968.518086,0,4.878799915
12/29/1923,6127.798225,0,4.675600052
12/30/1923,6510.106232,0,4.475200176
12/31/1923,7858.760786,0,4.354999542
1/1/1924,9207.425144,0,5.35710001
1/2/1924,9589.764296,0,6.380199909
1/3/1924,9749.09986,0,7.348700047
1/4/1924,9830.29977,0,8.049699783
1/5/1924,9877.187946,0,8.374500275
1/6/1924,9906.687997,0,8.350099564
1/7/1924,9926.458299,0,8.073800087
1/8/1924,9940.3771,0,7.449399948
1/9/1924,9950.582294,0,6.48210001
1/10/1924,9958.334518,0,5.402100086
1/11/1924,9964.420224,0,4.777699947
1/12/1924,9969.355363,0,4.215899944
1/13/1924,9973.495375,0,3.705699921
1/14/1924,9977.098272,0,3.81619978
1/15/1924,9980.363158,0,4.269500256
1/16/1924,9983.455616,0,4.853600025
1/17/1924,9986.526368,0,5.419199944
1/18/1924,9989.72726,0,5.829800129
1/19/1924,9993.227829,0,6.318600178
1/20/1924,9997.23595,0,6.634199619
1/21/1924,10002.02758,0,6.770699978
1/22/1924,10007.99428,0,6.848799706
1/23/1924,10015.72498,0,6.603899956
1/24/1924,10026.15683,0,6.137900352
1/25/1924,10040.87294,0,5.440899849
1/26/1924,10062.73942,0,4.944700241
1/27/1924,10097.41062,0,4.552100182
1/28/1924,10157.37624,0,4.257400036
1/29/1924,10274.97282,0,4.932099819
1/30/1924,10557.08795,0,5.697100163
1/31/1924,11552.15518,0,6.451900005
2/1/1924,12511.33988,0,7.097199917
2/2/1924,12767.46558,0,7.51970005
2/3/1924,12871.23429,0,7.686200142
2/4/1924,12923.16376,0,7.625899792
2/5/1924,12952.69426,0,7.278999805
2/6/1924,12970.96736,0,6.602399826
2/7/1924,12982.95029,0,5.764100075
2/8/1924,12991.12519,0,4.878499985
2/9/1924,12996.83985,0,4.248000145
2/10/1924,13000.87209,0,3.663199902
2/11/1924,13003.69013,0,3.531900167
2/12/1924,13005.58199,0,3.64109993
2/13/1924,13006.72335,0,3.925800323
2/14/1924,13007.21395,0,4.354800224
2/15/1924,13007.09646,0,4.873399734
2/16/1924,13006.36434,0,5.449100018
2/17/1924,13004.96098,0,5.904699802
2/18/1924,13002.77019,0,6.263800144
2/19/1924,12999.59482,0,6.547600269
2/20/1924,12995.1166,0,6.546299934
2/21/1924,12988.82196,0,6.278600216
2/22/1924,12979.86074,0,5.628000259
2/23/1924,12966.76239,0,5.112100124
2/24/1924,12946.82092,0,4.781000137
2/25/1924,12914.62331,0,4.949800014
2/26/1924,12858.03008,0,5.120100021
2/27/1924,12744.9663,0,5.325099945
2/28/1924,12465.92123,0,5.611999989
2/29/1924,11420.92719,0,5.999700069
3/1/1924,10336.8494,1,6.322899818
3/2/1924,10029.51778,1,6.567699909
3/3/1924,9901.438741,1,6.608300209
3/4/1924,9836.165036,1,6.420700073
3/5/1924,9798.470121,1,6.041699886
3/6/1924,9774.750302,1,5.460800171
3/7/1924,9758.84938,1,4.687600136
3/8/1924,9747.649622,1,4.303600311
3/9/1924,9739.432145,1,4.186299801
3/10/1924,9733.183128,1,4.067500114
3/11/1924,9728.269786,1,3.913599968
3/12/1924,9724.276613,1,3.745900154
3/13/1924,9720.91692,1,3.779799938
3/14/1924,9717.982061,1,3.970099926
3/15/1924,9715.310376,1,4.299600124
3/16/1924,9712.766643,1,4.782600403
3/17/1924,9710.226886,1,5.289000034
3/18/1924,9707.56522,1,5.62899971
3/19/1924,9704.640077,1,5.864500046
3/20/1924,9701.276882,1,5.778699875
3/21/1924,9697.242958,1,5.512700081
3/22/1924,9692.207344,1,5.512899876
3/23/1924,9685.671471,1,5.854599953
3/24/1924,9676.841354,1,6.023499966
3/25/1924,9664.375137,1,6.04640007
3/26/1924,9645.842899,1,5.894000053
3/27/1924,9616.450329,1,5.682299614
3/28/1924,9565.606913,1,5.507899761
3/29/1924,9465.892643,1,5.416199684
3/30/1924,9226.670742,1,5.394899845
3/31/1924,8382.888658,1,5.383100033
4/1/1924,7554.062971,1,5.199300289
4/2/1924,7325.823064,1,5.129600048
4/3/1924,7231.96924,1,4.784800053
4/4/1924,7184.503782,1,4.920399666
4/5/1924,7157.223537,1,5.01279974
4/6/1924,7140.106048,1,4.910999775
4/7/1924,7128.644598,1,5.008500099
4/8/1924,7120.566592,1,4.809999943
4/9/1924,7114.622271,1,4.524800301
4/10/1924,7110.074934,1,4.182299614
4/11/1924,7106.463732,1,3.96750021
4/12/1924,7103.484016,1,3.873999834
4/13/1924,7100.922613,1,3.9781003
4/14/1924,7098.620384,1,4.268599987
4/15/1924,7096.448819,1,4.725699902
4/16/1924,7094.293791,1,5.041499615
4/17/1924,7092.04241,1,5.227799892
4/18/1924,7089.570083,1,5.806399822
4/19/1924,7086.724919,1,6.517399788
4/20/1924,7083.305627,1,7.047200203
4/21/1924,7079.026459,1,7.015299797
4/22/1924,7073.456831,1,7.267000198
4/23/1924,7065.909889,1,6.911200047
4/24/1924,7055.221749,1,6.338000298
4/25/1924,7039.27716,1,5.680699825
4/26/1924,7013.882561,1,5.139200211
4/27/1924,6969.713029,1,5.105800152
4/28/1924,6882.390247,1,4.997399807
4/29/1924,6670.046205,1,4.959100246
4/30/1924,5898.9576,1,4.802599907
5/1/1924,5113.96414,1,5.076200008
5/2/1924,4891.433766,1,5.359600067
5/3/1924,4798.71331,1,5.638200283
5/4/1924,4751.482969,1,5.657999992
5/5/1924,4724.236399,1,5.731499672
5/6/1924,4707.125032,1,5.49420023
5/7/1924,4695.69356,1,5.460900307
5/8/1924,4687.687394,1,5.21750021
5/9/1924,4681.865528,1,4.838300228
5/10/1924,4677.498328,1,4.428600311
5/11/1924,4674.133145,1,4.177700043
5/12/1924,4671.476045,1,4.358299732
5/13/1924,4669.328197,1,4.535399914
5/14/1924,4667.549703,1,4.784500122
5/15/1924,4666.037964,1,5.033800125
5/16/1924,4664.714024,1,5.971099854
5/17/1924,4663.513358,1,7.003000259
5/18/1924,4662.379023,1,7.699399948
5/19/1924,4661.255795,1,8.024299622
5/20/1924,4660.084118,1,8.072299957
5/21/1924,4658.792507,1,7.925799847
5/22/1924,4657.286382,1,7.495899677
