,NDOI,smscg,tide,X2_DIS
10/14/1923,4027.204835,1,6.503200054,89.79532515
10/15/1923,4027.202074,1,5.954100132,89.67185466
10/16/1923,4027.413635,1,5.403000355,88.88765516
10/17/1923,4027.84983,1,4.953799725,87.90060374
10/18/1923,4028.537047,1,4.82640028,87.88310227
10/19/1923,4029.521323,1,5.040100098,88.14767161
10/20/1923,4030.875276,1,5.064700127,88.54591685
10/21/1923,4032.710357,1,4.887199879,88.75843481
10/22/1923,4035.19826,1,4.938499928,88.44219756
10/23/1923,4038.609312,1,5.100399971,88.7201055
10/24/1923,4043.384416,1,5.418699741,89.2370518
10/25/1923,4050.278077,1,5.466599941,89.17367631
10/26/1923,4060.665246,1,5.531699657,89.62342664
10/27/1923,4077.266955,1,5.425300121,89.85075548
10/28/1923,4106.102076,1,5.180500031,89.58845441
10/29/1923,4162.762803,1,4.89109993,89.18193524
10/30/1923,4298.799331,1,4.607999802,89.17195851
10/31/1923,4778.728032,1,4.332499981,88.89015988
11/1/1923,5250.155442,0,4.155600071,88.0618289
11/2/1923,5379.963949,0,4.278299809,87.50654655
11/3/1923,5433.324115,0,4.387899876,87.38465982
11/4/1923,5460.287038,0,4.93089962,88.27574431
11/5/1923,5475.755116,0,5.194900036,89.36541448
11/6/1923,5485.426892,0,6.097899914,90.26291288
11/7/1923,5491.863133,0,7.106600285,91.33121801
11/8/1923,5496.353281,0,7.722199917,92.06485216
11/9/1923,5499.604263,0,8.064899445,92.17927469
11/10/1923,5502.030254,0,7.993899822,92.75175723
11/11/1923,5503.887307,0,7.515599728,92.44404756
11/12/1923,5505.341035,0,6.759900093,91.88930283
11/13/1923,5506.502894,0,5.882200241,91.71736203
11/14/1923,5507.450726,0,5.08769989,91.0868026
11/15/1923,5508.240998,0,4.843800068,90.88570291
11/16/1923,5508.916465,0,4.663100243,90.58390712
11/17/1923,5509.511279,0,4.76970005,90.34404844
11/18/1923,5510.054719,0,4.657100201,90.60805884
11/19/1923,5510.57431,0,5.051800251,91.05643559
11/20/1923,5511.099008,0,5.427999973,91.24053214
11/21/1923,5511.663211,0,5.795399666,91.15298618
11/22/1923,5512.312858,0,6.052500248,90.71954972
11/23/1923,5513.116042,0,6.179900169,90.55897261
11/24/1923,5514.183513,0,6.260700226,90.59201194
11/25/1923,5515.71232,0,6.109699726,90.71655665
11/26/1923,5518.089127,0,5.95179987,90.81309826
11/27/1923,5522.169786,0,5.631599903,90.77633415
11/28/1923,5530.187603,0,5.151400089,90.47589904
11/29/1923,5549.637626,0,4.636400223,90.23219604
11/30/1923,5620.220102,0,4.47110033,89.95168539
12/1/1923,5692.084979,0,4.493599892,88.67694524
12/2/1923,5712.498099,0,4.535599709,88.82001251
12/3/1923,5721.064606,0,4.795599937,89.45090891
12/4/1923,5725.507308,0,5.936599731,89.91824871
12/5/1923,5728.166711,0,7.01240015,90.24077176
12/6/1923,5729.95129,0,7.8604002,90.76082941
12/7/1923,5731.277276,0,8.444499969,91.93551865
12/8/1923,5732.36122,0,8.558799744,90.77224957
12/9/1923,5733.329106,0,8.280399323,89.9433685
12/10/1923,5734.262921,0,7.709700108,90.24418938
12/11/1923,5735.222907,0,6.87130022,90.8073514
12/12/1923,5736.259464,0,5.818200111,90.79819023
12/13/1923,5737.420446,0,5.086900234,91.14366729
12/14/1923,5738.756518,0,4.655600071,90.1564068
12/15/1923,5740.326016,0,4.282299995,88.84390469
12/16/1923,5742.200334,0,4.03429985,88.08671167
12/17/1923,5744.470822,0,4.554900169,88.42339246
12/18/1923,5747.25848,0,5.153700352,88.95354322
12/19/1923,5750.7284,0,5.576600075,89.14571694
12/20/1923,5755.112291,0,6.0625,89.04748165
12/21/1923,5760.744985,0,6.317200184,89.1086672
12/22/1923,5768.126109,0,6.610099792,89.01792015
12/23/1923,5778.029045,0,6.670600414,89.14911642
12/24/1923,5791.703864,0,6.653100014,89.79789507
12/25/1923,5811.279848,0,6.48239994,90.42277498
12/26/1923,5840.62817,0,6.054399967,89.74636739
12/27/1923,5887.401341,0,5.536200047,89.24110907
12/28/1923,5968.518086,0,4.878799915,88.66899103
12/29/1923,6127.798225,0,4.675600052,88.64308181
12/30/1923,6510.106232,0,4.475200176,87.88960854
12/31/1923,7858.760786,0,4.354999542,87.70546408
1/1/1924,9207.425144,0,5.35710001,87.04324301
1/2/1924,9589.764296,0,6.380199909,86.65028925
